Título,Duración (min),Puntuación,Idioma Original,Fecha de Estreno,Última Fecha de Emisión,País(es) de Producción,Directores,Reparto,Palabras clave,Reseñas
El juego del calamar,,7.853,ko,2021-09-17,2024-12-26,South Korea,,"Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul","secret organization, challenge, survival, fictional game show, cruelty, game, death match, prize, suspense, death game, thriller",
"Besos, Kitty",,8.066,en,2023-05-18,2025-01-16,United States of America,,"Anna Cathcart, Choi Min-yeong, Gia Kim, Sang Heon Lee, Anthony Keyvan","affectation, high school, spin off, high school student, lgbt, study abroad, gay theme, korean, international student, seoul, south korea, campus romance, hilarious, amused",
Outer Banks,49.0,8.381,en,2020-04-15,2024-11-07,United States of America,,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow","diving, child abuse, surfing, north carolina, treasure hunt, boat chase, illegal drugs, outer banks, suspenseful, melodramatic",
House,44.0,8.59,en,2004-11-16,2012-05-21,United States of America,,"Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Odette Annable","medicine, drug addiction, misanthrophy, hospital, doctor, disease, patient, illness, diagnosis, medical drama, colleague, rare disease, medical ethics, drug addict, symptom, commanding","Araxis: ¡Es doctor house! Es el mejor en lo que hace, ¿No te la has visto? Que esperas es una gran serie para pasar un buen rato."
Breaking Bad,,8.9,en,2008-01-20,2013-09-29,United States of America,,"Bryan Cranston, Aaron Paul, Anna Gunn, RJ Mitte, Dean Norris","new mexico, drug dealer, narcissism, psychopath, terminal illness, outlaw, dark comedy, cancer, tragedy, drugs, criminal, meth lab, high school teacher, dea agent, neo-western, narcissist, albuquerque, new mexico, criminal lawyer, fall from grace, cartel, mexican cartel, male egos, crystal meth, methamphetamine, thriller, admiring",
Dexter,,8.201,en,2006-10-01,2013-09-22,United States of America,,"Michael C. Hall, Jennifer Carpenter, Geoff Pierson, David Zayas, James Remar","miami, florida, based on novel or book, double life, homicide, vigilante, serial killer, psychological thriller, killer, forensic science, murder investigation, crime investigation, dark secret, police department, neo-noir, police procedural, violence",
Prison Break,45.0,8.071,en,2005-08-29,2017-05-30,United States of America,,"Wentworth Miller, Dominic Purcell, Sarah Wayne Callies, Paul Adelstein, Rockmond Dunbar","prison, prisoner, brother, conspiracy, escape, fugitive, wrongful imprisonment, ex-con, escaped prisoner, effects from the past",
Sakamoto Days,,8.1,ja,2025-01-11,2025-01-18,Japan,,"Tomokazu Sugita, Nobunaga Shimazaki, Ayane Sakura, Nao Toyama, Hina Kino","assassin, fight, hitman, parody, psychic power, based on manga, family, shopkeeper, shounen, anime",
Chi's Sweet Home,3.0,6.8,ja,2008-03-31,2009-09-24,Japan,Mitsuyuki Masuhara,"Noriko Hidaka, Etsuko Kozakura, Satomi Korogi, Hidenobu Kiuchi, Kiyoyuki Yanada","cat, friendship, slice of life, coming of age, based on manga, family, animals, heart warming, anime, family life",
Lucifer,45.0,8.455,en,2016-01-25,2021-09-10,United States of America,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt","based on comic, los angeles, california, devil, lapd",
