title,title_comment,comment
True: Terrific Tales,,
The Knight and the Princess,,
Cleo & Cuquin,Great one <3,This is an excellent program for children. Highly recommended.
Cleo & Cuquin,Very good program for children,For me this show stands out amongst all the bad things netflix has for children. Very very good show for them.
Goon: Last of the Enforcers,,
Was It Love?,,
Young Royals,An authentic portrait of a modern royal teen drama,"I really enjoy the plots. Firstly, the actors are in proper age, no over aged actors (not saying they are bad, but just suitable for acting teens). Secondly, the characters are written in flesh and bones as teens, who have flaws and acting irrationally. Thirdly, there is no over dramatic plots but things happen in real life.

The biggest tension is definitely the END of the royal blood vs true love. The ending leaves us a big suspense and we are all pumped to see Season 2!"
Young Royals,Continue watching!,"Saw the first episod earlier this night and wasn't super impressed. Now it's 3.30 am, just finished the last episode and I'm here writing a review and giving this series 10 stars. Needless to say: continue watching !!"
Young Royals,A heartfelt and genuine story,"I loved it, I binged watched it in one sitting. Great storyline that wasn't too slow, but not too fast either. I really loved the chemistry between the two main characters. I would have wanted a little more character development for the side characters, but other than that it was a heartfelt and genuine story that is definitely worth a watch."
Young Royals,Beautiful and touching love story!!,"I loved every single episode of this tv show. It's beautiful to watch how these boy's relationships develops in such complex circumstances. Most importantly, how Wilhelm does his best to balance 'crown x own feelings' and, in spite of any decisions, has a very sweet heart.

Brilliant! Please 2nd season!!"
Young Royals,"a breath of fresh air in a world where even the grass is ""fake""","I have nothing but praise for this show and trust me, i really did try to find the flaws but i just couldn't cause everything thing about this series just fits so well together! The twist of monarchy to this gossip girl/elite like plot did kinda make me think twice but what can i say, i'm sucker for high school dramas! So i gave it shot, and it's safe to say that it did NOT disappoint, and in quite a few places it even beats it's predecessors. From the acting to the writing and storytelling it's all just exceptional and so smooth, you never deal with any kind of sloppiness in it all, and maybe you'd think that with only 6 episodes it wouldn't deliver much of an experience, but you're wrong, it actually does! And WAY more than you'd or even i imagined. The characters are realistic and even when they're doing the wrong thing, they do it rightly! Like nothing in this show ever feels uncalled for, even the 'dreamy' romance feels real! And you really do get to attach with the characters even with the short time limit, and in the end you feel like you're full but you still want so much more of this story as it just leaves with such a huge room for vast developments and connections, so yeah i basically NEED another season! Anyways i HIGHLY recommend it, watch this over the weekend and you'll still be left with more than enough time to watch a whole another series!!"
Young Royals,A great show,"At first when Wilhelm was entering the school I thought ""oh here we go another cringey netflix show with terrible acting and even worse writing"". Boy was I wrong, like any tv show some scenes make me close my eyes and turn my laptop off but this is because August's character is really portrayed well, almost too well. Same goes for all the other actors, you can tell they 100% understood what to do with their characters. I was really prepared to bash this show for being something like Riverdale but god was I wrong and very happy with that! The characters are realistic, the writing well done, the dialogue well thought out (considering most characters are teenage boys and I find writers/directors sometimes forget they don't all talk like English professors.) I can't help but hope this show will be granted a season two!1!!1!"
Young Royals,So good,"So good. Give it a watch, won't be disappointed. Want to see more!"
Young Royals,Heartfelt,I loved this show so much. All the characters are realistically presented. The story moved on the right pace. The two main characters have a really great chemistry. This might be one of my favorite show in 2021. It is better than Elite season 4 for me. The love portrayed felt genuine. I can feel the love through the screen.
Young Royals,A really enjoyable drama,"I'm not someone who usually binge-watches shows, but I did watch this one in one sitting. Really well-written, with so many lovely characters. Even characters I don't like feel real and I could understand their motives. I hope that there is a 2nd season, I was to see more of Wilhelm, Simon, Felice and Sara."
Young Royals,8/10 one of the best Swedish netflix series out there,Comentario no disponible
Young Royals,The definition of perfection: Young Royals,"I didn't expect it to be bad, but I didn't expect it to be this good either. I thought it might be basic and unoriginal, but I was pleasantly surprised!

The story was just beautiful. It's about a prince who has to go to a boarding school, where he falls in love with a boy. He has to chose between love and his obligations. This is well written and touching.

The acting is good too, very good! Especially Edvin Ryding did a really great job. It felt real and it was emotional. The two main characters also have a lot of tension, what makes you get lost in the story and forget about reality for a while.

The characters are not basic or based on characters of other shows, they're their own unique person. They also have realistic behaviour for a teenager.

The whole plot is just realistic and the way they interact is relatable. This is a thing that bothers me a lot in other shows: unrealistic lives of teenagers. So I'm really glad that wasn't the case here.

I don't give a 10 out of 10 very easily, but while writing this review I realised I have nothing to remark about this show. It's perfect and I recommend it to anyone!

Update: the second season is even better!

The plot of Young Royals sounds so incredibly ridiculous. When I started watching the series, I expected something very enjoyable, but also very stupid. I thought it was gonna be like 'Red, White & Royal Blue'. Who the hell even makes stories about a prince falling in love with another boy. Well, these creators did, and I'm glad! The execution was just perfect! It wasn't stupid and ridiculous like I thought it would be. It's not like the other Netflix shows that are focussed more on the costumes and decors than on the actual story. This is so simple, yet so complicated.

Watching the second season I realised even more how good this is. You can see they didn't come up with the second season after finishing the first one, but that the see everything as a whole. I couldn't name one bad thing, everything is amazing!"
